time_ns,hbm_stack_0_w,hbm_stack_1_w,hbm_stack_2_w,hbm_stack_3_w,hbm_stack_4_w,hbm_stack_5_w
0,38.549728000,38.549728000,38.549728000,38.549728000,38.549728000,38.549728000
50021,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
