stream,policy,requested_accuracy,achieved_accuracy,read_latency_ns,total_ns,stall_ns,demand_misses,prefetch_issued,prefetch_hits,prefetch_wasted,speedup_over_no_prefetch,recovered_fraction
moe,accuracy,0.0,0.0,2000,5308416000,1769472000,884736,884728,0,884728,1.0,0.0
moe,accuracy,0.1,0.100347,2000,5130856000,1591912000,795956,884728,88780,795948,1.034606,0.100346
moe,accuracy,0.2,0.200758,2000,4953184000,1414240000,707120,884728,177616,707112,1.071718,0.200756
moe,accuracy,0.3,0.300788,2000,4776184000,1237240000,618620,884728,266116,618612,1.111435,0.300786
moe,accuracy,0.4,0.400825,2000,4599174000,1060230000,530115,884728,354621,530107,1.154211,0.400821
moe,accuracy,0.5,0.500951,2000,4422006000,883062000,441531,884728,443205,441523,1.200454,0.500946
moe,accuracy,0.6,0.60077,2000,4245380000,706436000,353218,884728,531518,353210,1.250398,0.600765
moe,accuracy,0.7,0.700583,2000,4068766000,529822000,264911,884728,619825,264903,1.304675,0.700576
moe,accuracy,0.8,0.800466,2000,3892026000,353082000,176541,884728,708195,176533,1.363921,0.800459
moe,accuracy,0.9,0.900252,2000,3715460000,176516000,88258,884728,796478,88250,1.428737,0.900244
moe,accuracy,0.95,0.949974,2000,3627478000,88534000,44267,884728,840469,44259,1.46339,0.949966
moe,accuracy,1.0,1.0,2000,3538960000,16000,8,884728,884728,0,1.499993,0.999991
moe,none,0.0,0.0,4000,7077888000,3538944000,884736,0,0,0,1.0,0.0
moe,next_page,0.9996,0.999577,4000,3540440000,1496000,374,884736,884362,374,1.999155,0.999577
moe,accuracy,0.0,0.0,4000,7077888000,3538944000,884736,884728,0,884728,1.0,0.0
moe,accuracy,0.1,0.100347,4000,6722768000,3183824000,795956,884728,88780,795948,1.052823,0.100346
moe,accuracy,0.2,0.200758,4000,6367424000,2828480000,707120,884728,177616,707112,1.111578,0.200756
moe,accuracy,0.3,0.300788,4000,6013424000,2474480000,618620,884728,266116,618612,1.177015,0.300786
moe,accuracy,0.4,0.400825,4000,5659404000,2120460000,530115,884728,354621,530107,1.250642,0.400821
moe,accuracy,0.5,0.500951,4000,5305068000,1766124000,441531,884728,443205,441523,1.334175,0.500946
